Anio;Mes;Dia;Caterpillar;Ferrari;Volkswagen;Boeing;RollsRoyce
2016;1;1; 66.88 ; 47.29 ; 150 ; 141.38 ; 8.4 
2016;1;2; 68.38 ; 48.6 ; 143.08 ; 140.99 ; 8.27 
2016;1;3; 65.98 ; 47.75 ; 137.915 ; 138.83 ; 8.07 
2016;1;4; 65.08 ; 46.42 ; 132.6 ; 136.38 ; 7.97 
2016;1;5; 64.33 ; 46.6 ; 136.52 ; 133.7 ; 80.675 
2016;1;6; 63.67 ; 43.2 ; 141.207 ; 130.85 ; 8.3 
2016;1;7; 62.44 ; 43.95 ; 141.836 ; 131.58 ; 7.85 
2016;1;8; 62.07 ; 43.43 ; 141.64 ; 132.7 ; 7.95 
2016;1;9; 61.24 ; 42.47 ; 139.25 ; 129.59 ; 7.95 
2016;1;10; 59.52 ; 40.47 ; 134.25 ; 125.8 ; 7.71 
2016;1;11; 60.26 ; 40.69 ; 133.09 ; 127.06 ; 7.95 
2016;1;12; 58.08 ; 40.98 ; 129.65 ; 124 ; 7.59 
2016;1;13; 59 ; 40.28 ; 130.225 ; 122.77 ; 7.43 
2016;1;14; 61.23 ; 41.21 ; 136.44 ; 124.42 ; 7.88 
2016;1;15; 58.96 ; 41.47 ; 135.12 ; 124.6 ; 7.73 
2016;1;16; 58.4 ; 40.28 ; 136.27 ; 124.98 ; 7.65 
2016;1;17; 58.43 ; 41.31 ; 135.783 ; 119.9 ; 7.493 
2016;1;18; 62.01 ; 40.82 ; 133.97 ; 117.1 ; 7.692 
2016;1;19; 61.69 ; 39.48 ; 129.96 ; 118.14 ; 7.8 
2016;2;1; 61.97 ; 38.92 ; 130.1 ; 119.64 ; 7.93 
2016;2;2; 61.28 ; 39.84 ; 130.45 ; 119.69 ; 7.45 
2016;2;3; 61.47 ; 37.24 ; 126.83 ; 118.8 ; 7.55 
2016;2;4; 63.6 ; 36.25 ; 126.472 ; 121.12 ; 7.645 
2016;2;5; 65.67 ; 38.73 ; 132.1 ; 123.63 ; 7.52 
2016;2;6; 65.42 ; 37.04 ; 126.245 ; 120.67 ; 7.54 
2016;2;7; 63.9 ; 34.44 ; 123.94 ; 117.98 ; 7.22 
2016;2;8; 64.27 ; 35.03 ; 123.955 ; 118.16 ; 7.35 
2016;2;9; 60.91 ; 32.29 ; 124.15 ; 113.18 ; 7.54 
2016;2;10; 61.99 ; 32.34 ; 123.23 ; 105.12 ; 9.075 
2016;2;11; 64.16 ; 34.62 ; 129.53 ; 109.73 ; 8.945 
2016;2;12; 66 ; 36.37 ; 135 ; 114.03 ; 9.35 
2016;2;13; 67.15 ; 38.76 ; 141.545 ; 116.91 ; 9.7 
2016;2;14; 64.92 ; 37.9 ; 131.6 ; 117.31 ; 9.195 
2016;2;15; 66.41 ; 39.42 ; 134.38 ; 116.55 ; 9.46 
2016;2;16; 67.11 ; 39.25 ; 135.08 ; 116.97 ; 9.18 
2016;2;17; 64.7 ; 37.27 ; 127.19 ; 115.37 ; 8.95 
2016;2;18; 65.89 ; 38.21 ; 130 ; 116.35 ; 8.95 
2016;2;19; 67.39 ; 38.77 ; 134.18 ; 117.75 ; 9.61 
2016;2;20; 67.14 ; 38.49 ; 137.39 ; 118.12 ; 9.5 
2016;3;1; 68.44 ; 38.78 ; 140.82 ; 119.01 ; 9.46 
2016;3;2; 68.75 ; 39.07 ; 142.4 ; 119.63 ; 9.525 
2016;3;3; 69.62 ; 39.1 ; 146.03 ; 118.84 ; 10.15 
2016;3;4; 72.09 ; 39.24 ; 150.53 ; 120.17 ; 10.095 
2016;3;5; 72.8 ; 39.11 ; 145.04 ; 120.8 ; 10.28 
2016;3;6; 73.78 ; 41.93 ; 147 ; 121.98 ; 10.25 
2016;3;7; 72.33 ; 41.72 ; 140.95 ; 122.38 ; 10.005 
2016;3;8; 72.03 ; 41.98 ; 140.9 ; 123.14 ; 10.002 
2016;3;9; 72.36 ; 42.09 ; 142.26 ; 124.13 ; 9.91 
2016;3;10; 72.73 ; 42.57 ; 144.48 ; 123.93 ; 9.75 
2016;3;11; 71.44 ; 41.46 ; 142.95 ; 125.55 ; 9.47 
2016;3;12; 72.59 ; 41.11 ; 142.44 ; 126.24 ; 9.47 
2016;3;13; 74.2 ; 42.49 ; 142.75 ; 128.07 ; 9.76 
2016;3;14; 76.08 ; 42.73 ; 145.6 ; 131.24 ; 10.19 
2016;3;15; 75.53 ; 42.38 ; 149.01 ; 133.46 ; 10.02 
2016;3;16; 75.59 ; 41.64 ; 145.45 ; 135.14 ; 9.805 
2016;3;17; 74.97 ; 41.66 ; 147.25 ; 134.99 ; 9.37 
2016;3;18; 72.93 ; 40.23 ; 1.432.375 ; 131.61 ; 9.485 
2016;3;19; 75.15 ; 41.04 ; 142.495 ; 132.53 ; 9.52 
2016;3;20; 74.97 ; 40.87 ; 1.414.195 ; 129.83 ; 9.52 
2016;3;21; 76.94 ; 42.1 ; 144.1 ; 131.48 ; 9.935 
2016;3;22; 76.3 ; 41.59 ; 145.35 ; 128.09 ; 9.88 
2016;4;1; 75.65 ; 40.73 ; 139.65 ; 126.23 ; 9.5 
2016;4;2; 76.56 ; 41.24 ; 139.33 ; 126.54 ; 9.395 
2016;4;3; 75.32 ; 40.21 ; 136.96 ; 126.15 ; 9.22 
2016;4;4; 75.52 ; 40.19 ; 136.33 ; 127.16 ; 9.17 
2016;4;5; 74.49 ; 40.88 ; 135.35 ; 127 ; 9.05 
2016;4;6; 75.03 ; 41.26 ; 137 ; 128.04 ; 9.395 
2016;4;7; 74.61 ; 41.17 ; 140.4 ; 128.25 ; 9.5 
2016;4;8; 75.06 ; 41.24 ; 137.3 ; 127.62 ; 9.42 
2016;4;9; 76.87 ; 41.94 ; 140.85 ; 130.49 ; 9.43 
2016;4;10; 79.44 ; 42.06 ; 141.9 ; 131.5 ; 9.68 
2016;4;11; 79.38 ; 43.31 ; 144.47 ; 130.95 ; 9.32 
2016;4;12; 78.47 ; 43.83 ; 140 ; 130.64 ; 9.24 
2016;4;13; 79.99 ; 44.44 ; 145 ; 132.57 ; 9.91 
2016;4;14; 80.25 ; 44.66 ; 152.4 ; 128.55 ; 9.8 
2016;4;15; 78.75 ; 44.59 ; 156.6 ; 130.98 ; 9.7 
