Caterpillar;Ferrari;Wolkswagen;Boeing;RollsRoyce
-0.076250;-0.194791;-0.142332;-0.166964;-0.057579
0.099307;-0.003604;0.079179;-0.005280;0.176419
0.100160;0.049060;-0.008343;0.058898;0.004219
0.022223;0.132487;0.115194;0.062566;0.016702
-0.071952;-0.093484;-0.015434;-0.064390;-0.120310
0.046154;-0.015228;-0.109474;0.027708;0.091961
0.093403;0.076588;0.054524;0.027937;0.111730
-0.014238;0.069481;-0.000274;-0.024162;-0.048790
0.078240;0.072894;-0.023702;0.009567;-0.058689
-0.055460;0.022285;0.044677;0.085162;-0.071408
0.139861;0.017181;-0.083357;0.053062;-0.031246
-0.021053;0.091076;0.079291;0.036221;-0.036498
0.019072;0.054921;0.086471;0.049612;0.041188
0.024639;0.048409;-0.054920;0.101793;0.116665
-0.060555;0.128565;-0.021834;-0.026581;-0.024016
0.104874;0.013977;0.081760;0.039583;0.118494
0.029942;0.141972;-0.032636;0.017114;0.069498
0.006972;-0.009797;-0.018196;0.055322;0.008795
0.070325;0.231035;0.008370;0.206004;0.107817
0.027789;0.054909;-0.006174;-0.015403;-0.065805
0.057149;-0.036871;0.091314;0.060669;0.003353
0.086723;0.088425;0.115747;0.014193;0.057716
0.042781;-0.117370;0.073011;0.071774;-0.092628
0.111486;-0.032877;-0.009307;0.063658;-0.014841
